Column title,Description,Unit,Comment,,
"Organism Concentration (Amount, Volume or Mass)_Picoplankton_flag","Flag for column: Organism Concentration (Amount, Volume or Mass)_Picoplankton",,Flagging only when the given unit is different to the required unit,,
"Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Abundance of individuals in the H2O column (+other avail. properties),per m^3,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
"Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton_flag","Flag for column: Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",,Flagging only when the given unit is different to the required unit,,
Community Production Rate_Primary Production (isotope uptake),Primary Production in the H2O column,mg/m^3/d,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Community Production Rate_Primary Production (isotope uptake)_flag,Flag for column: Community Production Rate_Primary Production (isotope uptake),,Flagging only when the given unit is different to the required unit,,
Community Production Rate_Primary Production (Oxygen),Primary Production in the H2O column,mg/m^3/d,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Community Production Rate_Primary Production (Oxygen)_flag,Flag for column: Community Production Rate_Primary Production (Oxygen),,Flagging only when the given unit is different to the required unit,,
Community Production Rate_Bacterial Production (isotope uptake),Bacterial production in the H2O column,mg/m^3/d,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Community Production Rate_Bacterial Production (isotope uptake)_flag,Flag for column: Community Production Rate_Bacterial Production (isotope uptake),,Flagging only when the given unit is different to the required unit,,
Community Production Rate_Bacterial Production (respiration),Bacterial production in the H2O column,mg/m^3/d,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Community Production Rate_Bacterial Production (respiration)_flag,Flag for column: Community Production Rate_Bacterial Production (respiration),,Flagging only when the given unit is different to the required unit,,
ENA_BioSampleID,ENA biosample accession number,, , , 
ENA_BioProjectID_TargetGene18S,ENA bioproject accession number for the 18S target gene,, ,, 
ENA_BioProjectID_TargetGeneMG,ENA bioproject accession number for the metagenomics work,,,,
ENA_BioProjectID_TargetGene16S,ENA bioproject accession number for the 16S target gene,,,,
