Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR6	ERR7	ERR8	ERR9
phylum	Main genome;Bacteria;Tenericutes;Mollicutes;Mycoplasmatales	Mycoplasmatales	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	2.0	None	None	None	None
phylum	Main genome;Bacteria;Tenericutes;Mollicutes;Acholeplasmatales	Acholeplasmatales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Tenericutes;Mollicutes;Izimaplasmatales	Izimaplasmatales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Micrococcales	Micrococcales	2.5	None	None	None	4.0	3.0	3.0	None	None	2.5	1.0	None	None	None	None	4.0	3.0	None	None	2.5	4.0	None	5.5	None	None	None	None	4.0	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	5.0	None	2.0	None
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Pseudonocardiales	Pseudonocardiales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Corynebacteriales	Corynebacteriales	None	None	None	1.0	1.0	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Propionibacteriales	Propionibacteriales	None	None	1.0	2.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4.0	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Frankiales	Frankiales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	7.0	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);PeM15	PeM15	None	None	2.0	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	1.0	2.0	1.0	1.0	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	2.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	1.0
phylum	Main genome;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales	Solirubrobacterales	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Thermoleophilia;Gaiellales	Gaiellales	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales	Microtrichales	None	None	9.25	None	10.0	7.0	None	None	None	None	3.0	None	4.0	None	None	None	None	7.25	9.0	5.5	None	1.0	1.0	1.0	None	1.0	5.0	None	None	None	None	None	None	None	3.5	None	None	None	None	None	None	2.5	3.0	None	None	None	2.5	None	5.0	4.0
phylum	Main genome;Bacteria;Actinobacteria;Acidimicrobiia;Actinomarinales	Actinomarinales	None	2.0	None	None	4.25	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	4.0	None	None	2.0	None	None	None	None	None	None	3.25	None	None	None	None	None	None	3.0	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales	Nitriliruptorales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	1.0	None	1.0	None
phylum	Main genome;Bacteria;Actinobacteria;Nitriliruptoria;Euzebyales	Euzebyales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales	Sphingobacteriales	None	None	9.5	10.0	19.0	10.5	7.5	None	None	None	None	2.0	None	4.0	None	None	None	7.0	9.16666666667	8.0	None	8.0	None	None	None	None	None	None	None	None	None	3.0	None	None	8.0	None	3.0	None	None	None	None	None	8.25	9.0	None	None	None	None	None	12.5
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales	Flavobacteriales	5.16666666667	79.0	100.2	80.3823529412	81.05	85.0	75.0416666667	61.6	59.5	75.0	32.125	None	57.0625	41.0416666667	21.0	71.5	51.4	26.2857142857	83.2	68.0625	37.9	73.75	54.3333333333	70.6944444444	60.4705882353	64.75	40.8846153846	25.125	58.5625	37.7222222222	27.125	19.4	27.5625	24.9	65.4615384615	22.5	28.3333333333	68.4615384615	38.6428571429	28.0	21.3333333333	27.75	62.6818181818	132.25	26.0416666667	85.1111111111	50.0625	41.4	70.0	94.6304347826
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	Bacteroidales	1.0	None	1.0	None	5.0	None	None	1.0	1.0	None	None	1.0	1.0	None	None	None	None	8.0	7.0	2.0	2.5	3.0	None	None	None	4.0	None	2.0	None	None	None	None	None	None	None	None	None	1.0	None	None	None	7.0	3.0	16.0555555556	None	5.66666666667	None	None	None	3.25
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales	Chitinophagales	2.0	6.0	12.75	6.66666666667	13.3333333333	10.6666666667	5.0	3.5	3.0	8.16666666667	6.0	None	3.0	2.0	2.5	5.5	None	5.0	8.66666666667	4.25	None	2.0	None	None	4.0	8.33333333333	2.5	6.0	6.1	None	None	None	None	2.0	None	2.0	None	7.0	3.5	None	6.0	10.0	9.5	19.1428571429	1.0	6.1	4.0	2.0	3.25	15.0
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales	Cytophagales	None	8.5	None	5.16666666667	9.125	None	None	None	3.5	None	None	None	2.0	2.0	None	None	3.0	6.125	8.16666666667	None	None	None	None	None	2.5	2.5	1.0	None	None	4.0	None	None	None	None	None	None	None	3.0	None	None	None	None	None	3.0	1.0	None	None	1.0	2.0	6.0
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidetes VC2.1 Bac22	Bacteroidetes VC2.1 Bac22	None	None	None	None	None	None	None	None	None	1.0	None	None	None	1.0	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Bacteroidetes;Rhodothermia;Rhodothermales	Rhodothermales	None	None	None	None	None	None	2.0	None	None	1.0	None	None	None	None	None	None	1.0	None	1.0	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None
phylum	Main genome;Bacteria;Bacteroidetes;Rhodothermia;Balneolales	Balneolales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	1.0	None	None	None	None	None	None
phylum	Main genome;Bacteria;Bacteroidetes;Chlorobia;Chlorobiales	Chlorobiales	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Bacteroidetes;Ignavibacteria;OPB56	OPB56	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None
phylum	Main genome;Bacteria;Bacteroidetes;Ignavibacteria;Ignavibacteriales	Ignavibacteriales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Firmicutes;Bacilli;Bacillales	Bacillales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.5	1.0	None	None	None	None	None	None	None	None	8.0	4.0	None	None	None	None	None	None	None	8.16666666667	None	None	None	None	None	4.5	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Firmicutes;Bacilli;Lactobacillales	Lactobacillales	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Firmicutes;Clostridia;Clostridiales	Clostridiales	2.0	None	1.0	None	None	None	None	2.0	None	2.5	1.0	None	None	None	None	2.5	None	8.0	None	None	2.0	1.0	None	None	None	None	None	2.0	None	None	None	None	None	None	5.0	None	None	None	None	None	None	4.16666666667	1.0	5.0	None	2.0	None	None	None	2.0
phylum	Main genome;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales	Erysipelotrichales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	1.0	None	None	1.0	None	None	None	None
phylum	Main genome;Bacteria;Firmicutes;Negativicutes;Selenomonadales	Selenomonadales	None	None	None	None	None	None	None	None	None	None	None	3.0	None	None	None	None	None	1.0	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0
phylum	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales	Spirochaetales	None	None	2.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	1.0	4.5	1.0	None	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None
phylum	Main genome;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales	Nostocales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	None	None	None
phylum	Main genome;Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales	Phormidesmiales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales	Synechococcales	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	3.5	None	None	None	None	6.5	None	11.5	None	None	None	None	None	7.0	None	None	6.0	None	8.0	None	10.0	None	5.0	5.0	None	None	2.0	None	None	None	None	None	None
phylum	Main genome;Bacteria;Cyanobacteria;Melainabacteria;Caenarcaniphilales	Caenarcaniphilales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Cyanobacteria;Melainabacteria;Vampirovibrionales	Vampirovibrionales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None
phylum	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales	Opitutales	None	9.25	None	10.0	None	None	None	None	8.0	11.5	None	None	None	None	None	13.0	7.5	1.0	12.0	2.0	None	None	3.0	None	None	None	None	None	None	1.0	6.0	None	None	None	None	None	None	2.0	None	None	7.0	10.0	1.0	5.5	None	2.0	None	None	14.0	None
phylum	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedosphaerales	Pedosphaerales	None	2.0	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	2.0	None	None	None	None	1.0	None	1.0	None	None	None	None
phylum	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales	Verrucomicrobiales	None	14.125	19.125	21.25	23.75	12.1666666667	None	None	11.0	13.25	None	None	None	3.0	None	None	None	2.0	23.3333333333	10.6666666667	None	None	None	6.25	None	4.0	3.5	None	None	9.5	None	None	8.0	None	17.0625	5.25	None	10.0	None	4.5	None	7.0	8.5	17.0625	None	4.0	6.25	1.0	6.0	29.1333333333
phylum	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales	Chthoniobacterales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales	Campylobacterales	None	None	6.0	2.0	3.0	None	3.5	None	1.0	4.5	None	1.0	None	5.0	None	None	None	None	None	None	3.5	None	None	7.125	1.0	4.25	None	None	None	3.0	None	None	1.0	None	None	None	None	5.66666666667	None	None	2.0	None	None	11.125	None	14.0	None	None	None	None
phylum	Main genome;Bacteria;Acidobacteria;Acidobacteriia;Solibacterales	Solibacterales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales	Thermoanaerobaculales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0
phylum	Main genome;Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Blastocatellales	Blastocatellales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None
phylum	Main genome;Bacteria;Acidobacteria;Subgroup 6;Subgroup 6 (phylum)	Subgroup 6 (phylum)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None
phylum	Main genome;Bacteria;Acidobacteria;Holophagae;Subgroup 7	Subgroup 7	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Chloroflexi;Chloroflexia;Chloroflexales	Chloroflexales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales	Anaerolineales	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Chloroflexi;Anaerolineae;Caldilineales	Caldilineales	None	None	2.5	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Patescibacteria;Gracilibacteria;JGI 0000069-P22	JGI 0000069-P22	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	3.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	7.0	None	None	None	2.0
phylum	Main genome;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	Saccharimonadales	None	None	2.5	2.5	6.0	None	None	2.0	None	5.0	None	None	None	2.0	1.0	None	1.0	3.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	2.0	None	1.0	None	None	1.0	1.0
phylum	Main genome;Bacteria;Patescibacteria;Parcubacteria;GWA2-38-13b	GWA2-38-13b	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales	Planctomycetales	None	None	4.0	None	5.5	3.0	3.0	None	None	3.0	None	None	1.0	1.0	None	None	None	None	3.5	None	None	1.0	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	2.5	None	None	None	None	1.0	None
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales	Pirellulales	None	None	11.125	8.5	12.4	9.0	6.5	None	3.0	7.0	None	None	None	3.5	1.0	None	None	None	10.0	6.16666666667	5.0	2.5	6.5	2.0	None	3.0	2.5	2.0	None	1.0	None	None	None	None	None	9.1	None	4.25	None	None	None	7.25	2.0	5.0	None	None	4.0	None	6.25	None
phylum	Main genome;Bacteria;Planctomycetes;Phycisphaerae;MSBL9	MSBL9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales	Phycisphaerales	None	2.0	None	None	None	None	1.0	2.0	None	None	1.0	None	None	1.0	None	None	1.0	2.0	2.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	1.0	None	None	2.0	None	None	None	1.0
phylum	Main genome;Bacteria;Chlamydiae;Chlamydiae (kingdom);Chlamydiales	Chlamydiales	None	None	1.0	None	None	2.0	1.0	None	1.0	None	None	None	1.0	2.0	None	None	None	2.0	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None
phylum	Main genome;Bacteria;Gemmatimonadetes;Gemmatimonadetes (kingdom);Gemmatimonadales	Gemmatimonadales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Lentisphaerae;Lentisphaeria;Lentisphaerales	Lentisphaerales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Lentisphaerae;Lentisphaeria;Victivallales	Victivallales	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales	Oligosphaerales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None
phylum	Main genome;Bacteria;Lentisphaerae;Oligosphaeria;P.palmC41	P.palmC41	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	1.0	None	None	None	None
phylum	Main genome;Bacteria;Lentisphaerae;Oligosphaeria;SS1-B-02-17	SS1-B-02-17	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales	Fusobacteriales	None	None	None	None	None	None	None	None	None	5.0	None	None	None	None	None	None	None	None	None	4.16666666667	1.0	None	None	None	None	5.16666666667	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.5	5.5	None	5.5	None	None	None	6.0
phylum	Main genome;Bacteria;Dependentiae;Babeliae;Babeliales	Babeliales	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales	Fimbriimonadales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales	Armatimonadales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Omnitrophicaeota;Omnitrophia;Omnitrophales	Omnitrophales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Latescibacteria;Latescibacteria (kingdom);Latescibacterales	Latescibacterales	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41	WCHB1-41	None	None	8.0	2.0	11.1666666667	5.5	None	1.0	None	4.5	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	2.0	None	None	None	None	1.0	1.0
phylum	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;Kiritimatiellales	Kiritimatiellales	None	None	2.5	None	2.5	2.5	None	None	None	3.0	2.0	None	None	None	None	None	None	None	3.0	2.5	1.0	1.0	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	2.0	None	None	None	None
phylum	Main genome;Bacteria;Calditrichaeota;Calditrichia;Calditrichales	Calditrichales	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Bacteria;Cloacimonetes;Cloacimonadia;Cloacimonadales	Cloacimonadales	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None
phylum	Main genome;Bacteria;Fibrobacteres;Chitinivibrionia;Chitinivibrionales	Chitinivibrionales	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	1.0	None
phylum	Main genome;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales	Fibrobacterales	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Eukaryota;SAR;Alveolata;Ciliophora	Ciliophora	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Main genome;Archaea;Euryarchaeota;Thermoplasmata;Marine Group II	Marine Group II	None	None	None	None	6.0	6.0	None	None	None	None	None	None	11.0	None	None	None	None	None	4.0	None	None	None	None	11.0	5.5	None	None	None	4.5	None	None	None	None	None	None	None	None	None	None	None	None	None	3.5	None	None	3.0	None	None	9.0	7.5
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Nephroselmis (Chloroplast) (Oxyphotobacteria (Chloroplast))	Nephroselmis (Chloroplast) (Oxyphotobacteria (Chloroplast))	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Crustomastix (Chloroplast) (Oxyphotobacteria (Chloroplast))	Crustomastix (Chloroplast) (Oxyphotobacteria (Chloroplast))	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None
phylum	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast);Pycnococcus (Chloroplast) (Oxyphotobacteria (Chloroplast))	Pycnococcus (Chloroplast) (Oxyphotobacteria (Chloroplast))	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0
